    M   N   t0  t1  t1/t0   diff
            row-maj col-maj
===============================
3000 3000    0.01    0.06    6.00   0.00e+00
3100 3100    0.01    0.06    6.00   0.00e+00
3200 3200    0.01    0.07    7.00   0.00e+00
3300 3300    0.01    0.07    7.00   0.00e+00
3400 3400    0.01    0.09    9.00   0.00e+00
3500 3500    0.02    0.07    3.50   0.00e+00
3600 3600    0.02    0.08    4.00   0.00e+00
3700 3700    0.01    0.09    9.00   0.00e+00
3800 3800    0.02    0.09    4.50   0.00e+00
3900 3900    0.02    0.10    5.00   0.00e+00
4000 4000    0.01    0.11   11.00   0.00e+00
4100 4100    0.01    0.11   11.00   0.00e+00
4200 4200    0.02    0.12    6.00   0.00e+00
4300 4300    0.02    0.13    6.50   0.00e+00
4400 4400    0.02    0.13    6.50   0.00e+00
4500 4500    0.02    0.13    6.50   0.00e+00
4600 4600    0.02    0.15    7.50   0.00e+00
4700 4700    0.02    0.15    7.50   0.00e+00
4800 4800    0.02    0.17    8.50   0.00e+00
4900 4900    0.02    0.16    8.00   0.00e+00
5000 5000    0.02    0.18    9.00   0.00e+00
5100 5100    0.03    0.17    5.67   0.00e+00
5200 5200    0.07    0.22    3.14   0.00e+00
5300 5300    0.03    0.19    6.33   0.00e+00
5400 5400    0.03    0.22    7.33   0.00e+00
5500 5500    0.03    0.21    7.00   0.00e+00
5600 5600    0.03    0.23    7.67   0.00e+00
5700 5700    0.03    0.22    7.33   0.00e+00
5800 5800    0.03    0.25    8.33   0.00e+00
5900 5900    0.03    0.24    8.00   0.00e+00
6000 6000    0.04    0.25    6.25   0.00e+00
6100 6100    0.03    0.26    8.67   0.00e+00
6200 6200    0.05    0.36    7.20   0.00e+00
6300 6300    0.04    0.28    7.00   0.00e+00
6400 6400    0.04    0.33    8.25   0.00e+00
6500 6500    0.05    0.29    5.80   0.00e+00
6600 6600    0.05    0.38    7.60   0.00e+00
6700 6700    0.04    0.32    8.00   0.00e+00
6800 6800    0.05    0.34    6.80   0.00e+00
6900 6900    0.05    0.33    6.60   0.00e+00
7000 7000    0.04    0.36    9.00   0.00e+00
